,배우명,드라마명,역할,성별,장르,방영요일,방송사,나이,방영년도,가중평점,결혼여부
1028,오연서,엽기적인 그녀,주연,여자,"['romance', 'comedy', 'hist_war']","['monday', ' tuesday']",['SBS'],31,2017,7.75,미혼
1029,오연서,빛나거나 미치거나,주연,여자,"['romance', 'sf', 'society', 'hist_war']","['monday', ' tuesday']",['MBC'],29,2015,7.7,미혼
1030,곽시양,미남당,주연,남자,"['thriller', 'comedy']","['monday', ' tuesday']","['KBS2', ' NETFLIX']",36,2022,7.78,미혼
1031,곽시양,아이돌: 더 쿠데타,주연,남자,"['drama', 'youth', 'music']","['monday', ' tuesday']","['IQIYI', ' JTBC']",35,2021,7.79,미혼
1032,곽시양,홍천기,주연,남자,"['romance', 'sf', 'drama', 'hist_war']","['monday', ' tuesday']","['SBS', ' VIKI', ' VIUTV']",35,2021,7.91,미혼
1033,곽시양,앨리스,주연,남자,"['romance', 'thriller', 'sf']","['friday', ' saturday']",['SBS'],34,2020,7.59,미혼
1034,곽시양,웰컴2라이프,주연,남자,"['romance', 'sf', 'comedy', 'society']","['monday', ' tuesday']",['MBC'],33,2019,7.85,미혼
1035,곽시양,시카고 타자기,주연,남자,"['sf', 'comedy', 'romance', 'society']","['friday', ' saturday']",['TVN'],31,2017,8.41,미혼
1036,곽시양,끝에서 두 번째 사랑,주연,남자,"['drama', 'romance']","['saturday', ' sunday']",['SBS'],30,2016,7.66,미혼
1037,곽시양,오 나의 귀신님,조연,남자,"['thriller', 'comedy', 'romance', 'sf']","['friday', ' saturday']",['TVN'],29,2015,8.2,미혼
1038,이유리,마녀가 된 이유,주연,여자,"['thriller', 'comedy']",['saturday'],['TV CHOSUN'],43,2022,7.7,기혼
1039,이유리,거짓말의 거짓말,주연,여자,"['thriller', 'romance']","['friday', ' saturday']",['CHANNEL A'],41,2020,7.88,기혼
1040,이유리,봄이 오나 봄,주연,여자,"['drama', 'sf', 'comedy', 'society']","['thursday', ' wednesday']",['MBC'],40,2019,7.73,기혼
1041,이유리,숨바꼭질,주연,여자,"['romance', 'thriller', 'drama']",['saturday'],['MBC'],39,2018,7.69,기혼
1042,이유리,아버지가 이상해,주연,여자,"['drama', 'comedy', 'romance']","['saturday', ' sunday']",['KBS2'],38,2017,8.19,기혼
1043,이유리,약속,주연,여자,"['drama', 'romance']","['monday', ' tuesday', ' wednesday', ' thursday', ' friday']",['KBS2'],37,2016,7.69,기혼
1044,이유리,슈퍼대디 열,주연,여자,"['drama', 'comedy', 'romance', 'society']","['friday', ' saturday']",['TVN'],36,2015,7.68,기혼
1045,윤소이,마녀가 된 이유,주연,여자,"['thriller', 'comedy']",['saturday'],['TV CHOSUN'],38,2022,7.7,기혼
1046,윤소이,태양의 계절,주연,여자,"['romance', 'drama', 'society']","['monday', ' tuesday', ' wednesday', ' thursday', ' friday']",['KBS2'],35,2019,7.7,기혼
1047,윤소이,황후의 품격,조연,여자,"['thriller', 'action', 'romance']","['wednesday', ' thursday']",['SBS'],34,2018,7.85,기혼
1048,윤소이,숨은 신분,주연,여자,"['thriller', 'drama']","['monday', ' tuesday']",['TVN'],31,2015,7.7,기혼
1049,김영재,마녀가 된 이유,조연,남자,"['thriller', 'comedy']",['saturday'],['TV CHOSUN'],28,2022,7.7,기혼
1050,김영재,공작도시,조연,남자,"['thriller', 'drama']","['wednesday', ' thursday']",['JTBC'],27,2021,7.68,기혼
1051,김태훈,나빌레라,조연,남자,['drama'],"['monday', ' tuesday']","['NETFLIX', ' TVN']",47,2021,8.48,기혼
1052,김태훈,시크릿 부티크,주연,남자,"['drama', 'society', 'romance']","['wednesday', ' thursday']",['SBS'],45,2019,7.7,기혼
1053,김태훈,파수꾼,주연,남자,"['thriller', 'action', 'society']","['monday', ' tuesday']",['MBC'],43,2017,7.99,기혼
1054,김태훈,판타스틱,주연,남자,"['drama', 'comedy', 'romance', 'society']","['friday', ' saturday']",['JTBC'],42,2016,7.68,기혼
1055,김태훈,숨은 신분,조연,남자,"['thriller', 'drama']","['monday', ' tuesday']",['TVN'],41,2015,7.7,기혼
1056,김태훈,앵그리맘,조연,남자,"['romance', 'comedy', 'drama']","['wednesday', ' thursday']",['MBC'],41,2015,8.06,기혼
1057,찬희,이미테이션,조연,남자,"['drama', 'comedy', 'romance', 'music']",['friday'],"['KBS2', ' VIKI']",22,2021,7.92,미혼
1058,정소민,환혼,주연,여자,"['romance', 'sf', 'action', 'hist_war']","['saturday', ' sunday']","['NETFLIX', ' TVN']",34,2022,8.19,미혼
1059,정소민,월간 집,주연,여자,"['romance', 'comedy', 'society', 'drama']","['wednesday', ' thursday']","['IQIYI', ' JTBC']",33,2021,7.7,미혼
1060,정소민,영혼수선공,주연,여자,"['drama', 'comedy', 'romance', 'society']","['wednesday', ' thursday']",['KBS2'],32,2020,7.72,미혼
1061,정소민,하늘에서 내리는 일억 개의 별,주연,여자,"['drama', 'thriller', 'romance']","['thursday', ' wednesday']",['TVN'],30,2018,8.1,미혼
1062,정소민,이번 생은 처음이라,주연,여자,"['drama', 'comedy', 'romance']","['monday', ' tuesday']",['TVN'],29,2017,8.38,미혼
1063,정소민,아버지가 이상해,주연,여자,"['drama', 'comedy', 'romance']","['saturday', ' sunday']",['KBS2'],29,2017,8.19,미혼
1064,정소민,마음의 소리,주연,여자,"['comedy', 'drama']","['monday', ' thursday']",['NAVER TV CAST'],28,2016,7.96,미혼
1065,서현,징크스의 연인,주연,여자,"['thriller', 'romance', 'sf']","['wednesday', ' thursday']","['KBS2', ' VIKI']",32,2022,7.63,미혼
1066,서현,사생활,주연,여자,"['thriller', 'romance']","['wednesday', ' thursday']","['JTBC', ' NETFLIX']",30,2020,7.62,미혼
1067,서현,"도둑놈, 도둑님",주연,여자,"['romance', 'thriller', 'comedy', 'society']","['saturday', ' sunday']",['MBC'],27,2017,7.69,미혼
1068,나인우,징크스의 연인,주연,남자,"['thriller', 'romance', 'sf']","['wednesday', ' thursday']","['KBS2', ' VIKI']",29,2022,7.63,미혼
1069,나인우,클리닝 업,주연,남자,"['thriller', 'comedy', 'drama']","['saturday', ' sunday']",['JTBC'],29,2022,7.7,미혼
1070,나인우,달이 뜨는 강,주연,남자,"['romance', 'action', 'hist_war', 'society']","['monday', ' tuesday']","['KBS2', ' VIKI', ' VIUTV']",28,2021,7.76,미혼
